generation	female_mean	female_sd	male_mean	male_sd
1	81.58240037125	9.04006227072704	54.419130625	7.53692852391582
2	272.473825625	16.8152894547194	150.586345425	13.1919496792092
3	536.54670075	22.7600535969388	263.0071049625	16.5316453858418
4	744.091147375	26.6045717825255	352.5050437	19.0732966294643
5	683.2884589125	25.7794327965561	274.433638725	17.0968702200255
6	615.6557652125	24.4217743813776	261.135665675	16.3364284524872
7	486.4112249	22.1913387691326	284.21744715	17.051752755102
8	434.9907418375	20.7488607397959	237.979839825	15.5965127742347
