generation	female_mean	female_sd	male_mean	male_sd
1	77.4902259875	9.73864800860969	51.93368407875	8.73403848373725
2	394.6774919625	20.2898593686224	267.34516708	17.5383272372449
3	1120.7889281	32.9218925605867	580.19115975	24.204408778699
4	1610.091413625	39.1180456632653	769.20540365	27.6483526084184
5	1113.702378425	33.1594220695153	400.776380125	20.6742161702806
6	923.9643469125	30.1644042219388	338.534984675	18.7285869642857
7	644.7553999875	25.7138073788265	401.0517650625	20.702535723852
8	553.1000732125	23.8261899521684	303.00809885	17.8579574617347
